source_record_id,property_code,condition,normalized_value,measured_value,source_unit,normalized_value_si,measured_value_si,si_unit,source_url,source_locator,data_role
NCAMP-T2-1-034,nu21c,CTD,,0.028,,,0.028,,https://www.wichita.edu/industry_and_defense/NIAR/Documents/Qual-CAM-RP-2009-015-Rev-B-Hexcel-8552-IM7-MPDR-04.16.19.pdf,"CAM-RP-2009-015 Rev B, Table 2-1, page 28",experimental_summary_statistic
NCAMP-T2-1-035,nu21c,RTD,,0.024,,,0.024,,https://www.wichita.edu/industry_and_defense/NIAR/Documents/Qual-CAM-RP-2009-015-Rev-B-Hexcel-8552-IM7-MPDR-04.16.19.pdf,"CAM-RP-2009-015 Rev B, Table 2-1, page 28",experimental_summary_statistic
NCAMP-T2-1-036,nu21c,ETW,,0.018,,,0.018,,https://www.wichita.edu/industry_and_defense/NIAR/Documents/Qual-CAM-RP-2009-015-Rev-B-Hexcel-8552-IM7-MPDR-04.16.19.pdf,"CAM-RP-2009-015 Rev B, Table 2-1, page 28",experimental_summary_statistic
NCAMP-T2-1-037,F12s_0p2_ksi,CTD,,11.29,ksi,,77841809.83986671,Pa,https://www.wichita.edu/industry_and_defense/NIAR/Documents/Qual-CAM-RP-2009-015-Rev-B-Hexcel-8552-IM7-MPDR-04.16.19.pdf,"CAM-RP-2009-015 Rev B, Table 2-1, page 28",experimental_summary_statistic
NCAMP-T2-1-038,F12s_0p2_ksi,RTD,,7.76,ksi,,53503316.594983675,Pa,https://www.wichita.edu/industry_and_defense/NIAR/Documents/Qual-CAM-RP-2009-015-Rev-B-Hexcel-8552-IM7-MPDR-04.16.19.pdf,"CAM-RP-2009-015 Rev B, Table 2-1, page 28",experimental_summary_statistic
NCAMP-T2-1-039,F12s_0p2_ksi,ETW,,3.31,ksi,,22821646.64038608,Pa,https://www.wichita.edu/industry_and_defense/NIAR/Documents/Qual-CAM-RP-2009-015-Rev-B-Hexcel-8552-IM7-MPDR-04.16.19.pdf,"CAM-RP-2009-015 Rev B, Table 2-1, page 28",experimental_summary_statistic
NCAMP-T2-1-040,F12s_max_ksi,CTD,,16.56,ksi,,114177180.77486207,Pa,https://www.wichita.edu/industry_and_defense/NIAR/Documents/Qual-CAM-RP-2009-015-Rev-B-Hexcel-8552-IM7-MPDR-04.16.19.pdf,"CAM-RP-2009-015 Rev B, Table 2-1, page 28",experimental_summary_statistic
NCAMP-T2-1-041,F12s_5pct_ksi,RTD,,13.22,ksi,,91148691.41568096,Pa,https://www.wichita.edu/industry_and_defense/NIAR/Documents/Qual-CAM-RP-2009-015-Rev-B-Hexcel-8552-IM7-MPDR-04.16.19.pdf,"CAM-RP-2009-015 Rev B, Table 2-1, page 28",experimental_summary_statistic
NCAMP-T2-1-042,F12s_5pct_ksi,ETW,,5.54,ksi,,38196955.40415072,Pa,https://www.wichita.edu/industry_and_defense/NIAR/Documents/Qual-CAM-RP-2009-015-Rev-B-Hexcel-8552-IM7-MPDR-04.16.19.pdf,"CAM-RP-2009-015 Rev B, Table 2-1, page 28",experimental_summary_statistic
NCAMP-T2-1-043,G12_Msi,CTD,,0.86,Msi,,5929491272.12448,Pa,https://www.wichita.edu/industry_and_defense/NIAR/Documents/Qual-CAM-RP-2009-015-Rev-B-Hexcel-8552-IM7-MPDR-04.16.19.pdf,"CAM-RP-2009-015 Rev B, Table 2-1, page 28",experimental_summary_statistic
NCAMP-T2-1-044,G12_Msi,RTD,,0.68,Msi,,4688434959.35424,Pa,https://www.wichita.edu/industry_and_defense/NIAR/Documents/Qual-CAM-RP-2009-015-Rev-B-Hexcel-8552-IM7-MPDR-04.16.19.pdf,"CAM-RP-2009-015 Rev B, Table 2-1, page 28",experimental_summary_statistic
NCAMP-T2-1-045,G12_Msi,ETW,,0.31,Msi,,2137374760.88208,Pa,https://www.wichita.edu/industry_and_defense/NIAR/Documents/Qual-CAM-RP-2009-015-Rev-B-Hexcel-8552-IM7-MPDR-04.16.19.pdf,"CAM-RP-2009-015 Rev B, Table 2-1, page 28",experimental_summary_statistic
NCAMP-T2-1-046,SBS_ksi,CTD,,21.04,ksi,,145065693.4482547,Pa,https://www.wichita.edu/industry_and_defense/NIAR/Documents/Qual-CAM-RP-2009-015-Rev-B-Hexcel-8552-IM7-MPDR-04.16.19.pdf,"CAM-RP-2009-015 Rev B, Table 2-1, page 28",experimental_summary_statistic
NCAMP-T2-1-047,SBS_ksi,RTD,,17.13,ksi,,118107192.43196784,Pa,https://www.wichita.edu/industry_and_defense/NIAR/Documents/Qual-CAM-RP-2009-015-Rev-B-Hexcel-8552-IM7-MPDR-04.16.19.pdf,"CAM-RP-2009-015 Rev B, Table 2-1, page 28",experimental_summary_statistic
NCAMP-T2-1-048,SBS_ksi,ETD,,11.23,ksi,,77428124.40227664,Pa,https://www.wichita.edu/industry_and_defense/NIAR/Documents/Qual-CAM-RP-2009-015-Rev-B-Hexcel-8552-IM7-MPDR-04.16.19.pdf,"CAM-RP-2009-015 Rev B, Table 2-1, page 28",experimental_summary_statistic
NCAMP-T2-1-049,SBS_ksi,ETW,,8.25,ksi,,56881747.668636,Pa,https://www.wichita.edu/industry_and_defense/NIAR/Documents/Qual-CAM-RP-2009-015-Rev-B-Hexcel-8552-IM7-MPDR-04.16.19.pdf,"CAM-RP-2009-015 Rev B, Table 2-1, page 28",experimental_summary_statistic
